m_id,m_name,release_year,rating,portrait,landscape
1,"Toy Story ",1995,10,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
2,"Jumanji ",1995,2,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
3,"Grumpier Old Men ",1995,2,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
4,"Waiting to Exhale ",1995,9,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
5,"Father of the Bride Part II ",1995,1,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
6,"Heat ",1995,10,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
7,"Sabrina ",1995,9,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
8,"Tom and Huck ",1995,6,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
9,"Sudden Death ",1995,4,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
10,"GoldenEye ",1995,6,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
11,"American President, The ",1995,5,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
12,"Dracula: Dead and Loving It ",1995,9,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
13,"Balto ",1995,10,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
14,"Nixon ",1995,6,https://i.pinimg.com/564x/e3/82/55/e38255b8fad2209e3f0252e8b4ba0612.jpg,https://wallpapercave.com/wp/wp7955488.jpg
