rating,rorb_id,rby,ron
8,1,1,1
8,2,1,3
8,3,1,6
10,4,1,42
10,5,1,45
6,6,1,59
10,7,1,84
8,8,1,92
10,9,1,117
10,10,1,123
10,11,1,129
10,12,1,174
6,13,1,180
10,14,1,187
8,15,1,191
10,16,1,212
6,17,1,240
6,18,1,258
10,19,1,272
8,20,1,285
8,21,1,292
10,22,1,298
8,23,1,301
6,24,1,341
8,25,1,356
10,26,1,369
8,27,1,386
6,28,1,404
8,29,1,443
8,30,1,451
10,31,1,452
8,32,1,474
8,33,1,475
8,34,1,476
10,35,1,479
10,36,1,486
6,37,1,511
10,38,1,516
6,39,1,523
8,40,1,551
6,41,1,553
6,42,1,572
10,43,1,647
10,44,1,651
10,45,1,666
8,46,1,669
10,47,1,679
6,48,1,712
10,49,1,726
10,50,1,727
10,51,1,728
10,52,1,731
10,53,1,732
10,54,1,733
8,55,1,741
10,56,1,745
8,57,1,753
10,58,1,758
10,59,1,770
8,60,1,771
10,61,1,772
10,62,1,776
8,63,1,795
10,64,1,802
10,65,1,832
10,66,1,838
8,67,1,840
10,68,1,841
10,69,1,844
8,70,1,845
4,71,1,850
10,72,1,851
10,73,1,853
10,74,1,855
10,75,1,857
10,76,1,869
10,77,1,884
6,78,1,886
8,79,1,893
10,80,1,898
10,81,1,903
10,82,1,906
10,83,1,909
10,84,1,917
10,85,1,923
6,86,1,977
6,87,1,993
6,88,1,1000
8,89,1,1036
8,90,1,1053
10,91,1,1060
8,92,1,1076
10,93,1,1083
6,94,1,1085
10,95,1,1092
10,96,1,1119
8,97,1,1121
10,98,1,1125
6,99,1,1135
6,100,1,1159
10,101,1,1196
8,102,1,1216
8,103,1,1223
10,104,1,1229
8,105,1,1230
8,106,1,1293
10,107,1,1298
10,108,1,1319
8,109,1,1332
8,110,1,1354
10,111,1,1359
8,112,1,1366
10,113,1,1372
8,114,1,1381
10,115,1,1383
8,116,1,1392
10,117,1,1393
8,118,1,1398
10,119,1,1402
10,120,1,1418
10,121,1,1427
6,122,1,1430
10,123,1,1431
8,124,1,1433
8,125,1,1436
8,126,1,1441
10,127,1,1448
10,128,1,1449
10,129,1,1467
10,130,1,1469
8,131,1,1471
10,132,1,1485
8,133,1,1495
8,134,1,1511
4,135,1,1540
8,136,1,1551
8,137,1,1555
10,138,1,1568
10,139,1,1597
4,140,1,1606
10,141,1,1617
8,142,1,1627
10,143,1,1647
4,144,1,1649
10,145,1,1655
8,146,1,1665
6,147,1,1673
10,148,1,1683
8,149,1,1699
10,150,1,1707
10,151,1,1713
8,152,1,1721
8,153,1,1727
10,154,1,1736
10,155,1,1755
10,156,1,1767
10,157,1,1786
10,158,1,1792
10,159,1,1801
8,160,1,1815
4,161,1,1816
8,162,1,1821
8,163,1,1826
10,164,1,1827
8,165,1,1830
8,166,1,1831
10,167,1,1834
6,168,1,1837
10,169,1,1858
10,170,1,1866
10,171,1,1875
10,172,1,1913
8,173,1,1934
8,174,1,1956
10,175,1,1970
10,176,1,1981
8,177,1,2014
10,178,1,2033
10,179,1,2035
10,180,1,2036
10,181,1,2037
10,182,1,2042
8,183,1,2064
10,184,1,2066
10,185,1,2070
10,186,1,2072
8,187,1,2075
10,188,1,2100
10,189,1,2101
10,190,1,2114
10,191,1,2115
8,192,1,2120
10,193,1,2178
8,194,1,2193
2,195,1,2199
6,196,1,2231
6,197,1,2234
10,198,1,2256
10,199,1,2321
8,200,1,2359
10,201,1,2360
10,202,1,2366
10,203,1,2368
8,204,1,2387
8,205,1,2392
8,206,1,2418
10,207,1,2456
8,208,1,2477
8,209,1,2492
10,210,1,2508
10,211,1,2531
10,212,1,2532
10,213,1,2553
8,214,1,2562
8,215,1,2566
10,216,1,2597
8,217,1,2607
8,218,1,2738
10,219,1,3342
6,220,2,260
8,221,2,272
9,222,2,1182
8,223,2,2456
8,224,2,4186
7,225,2,4801
8,226,2,5622
8,227,2,5676
9,228,2,6031
10,229,2,6112
9,230,2,6299
6,231,2,6423
8,232,2,6513
6,233,2,6570
8,234,2,6613
9,235,2,6649
10,236,2,6667
8,237,2,6802
10,238,2,6900
7,239,2,6967
5,240,2,6974
7,241,2,7220
10,242,2,7442
6,243,2,7503
8,244,2,7586
4,245,2,7626
7,246,2,7665
10,247,2,7783
1,248,3,29
1,249,3,510
1,250,3,527
10,251,3,608
1,252,3,642
1,253,3,773
1,254,3,792
1,255,3,891
1,256,3,900
7,257,3,903
1,258,3,927
6,259,3,971
9,260,3,1092
1,261,3,1372
1,262,3,1419
1,263,3,1427
4,264,3,1441
8,265,3,1565
10,266,3,1967
9,267,3,2094
1,268,3,2217
10,269,3,2532
1,270,3,2696
10,271,3,3042
1,272,3,3336
10,273,3,3396
10,274,3,3676
9,275,3,3680
10,276,3,3744
1,277,3,3884
10,278,3,4166
10,279,3,4606
9,280,3,4972
10,281,3,6390
1,282,3,6451
6,283,4,21
4,284,4,30
6,285,4,40
4,286,4,42
6,287,4,46
6,288,4,51
8,289,4,89
10,290,4,102
2,291,4,103
10,292,4,128
6,293,4,136
10,294,4,141
4,295,4,154
10,296,4,173
2,297,4,179
10,298,4,188
4,299,4,191
6,300,4,201
10,301,4,212
2,302,4,240
10,303,4,261
8,304,4,284
6,305,4,287
6,306,4,293
8,307,4,302
4,308,4,335
2,309,4,356
4,310,4,363
10,311,4,369
10,312,4,382
10,313,4,397
2,314,4,412
10,315,4,438
2,316,4,439
4,317,4,452
8,318,4,472
10,319,4,476
6,320,4,478
4,321,4,481
10,322,4,486
6,323,4,511
8,324,4,539
6,325,4,562
8,326,4,583
8,327,4,624
10,328,4,628
8,329,4,632
10,330,4,636
10,331,4,638
10,332,4,640
10,333,4,642
10,334,4,647
10,335,4,648
10,336,4,657
6,337,4,664
8,338,4,728
10,339,4,743
6,340,4,752
4,341,4,753
8,342,4,758
10,343,4,760
4,344,4,762
10,345,4,766
10,346,4,768
6,347,4,774
10,348,4,780
10,349,4,802
8,350,4,820
2,351,4,822
10,352,4,827
10,353,4,832
4,354,4,833
10,355,4,836
2,356,4,842
8,357,4,844
8,358,4,850
8,359,4,856
10,360,4,878
8,361,4,887
8,362,4,893
8,363,4,894
4,364,4,907
10,365,4,909
10,366,4,910
8,367,4,915
8,368,4,917
6,369,4,929
2,370,4,988
10,371,4,1024
8,372,4,1034
8,373,4,1053
8,374,4,1060
6,375,4,1085
2,376,4,1101
4,377,4,1119
8,378,4,1132
2,379,4,1182
8,380,4,1188
8,381,4,1196
10,382,4,1197
6,383,4,1198
10,384,4,1244
4,385,4,1257
8,386,4,1268
6,387,4,1270
4,388,4,1275
6,389,4,1283
8,390,4,1289
10,391,4,1312
4,392,4,1331
10,393,4,1332
8,394,4,1333
4,395,4,1373
8,396,4,1416
10,397,4,1418
8,398,4,1444
6,399,4,1473
10,400,4,1477
10,401,4,1495
10,402,4,1507
8,403,4,1517
10,404,4,1518
2,405,4,1561
2,406,4,1593
4,407,4,1604
8,408,4,1615
8,409,4,1622
