m_id,sum,count
1,1686,215
2,755,110
3,339,52
4,33,7
5,301,49
6,805,102
7,344,54
8,46,8
9,100,16
10,923,132
11,514,70
12,92,19
13,50,8
14,138,18
15,78,13
16,644,82
17,506,67
18,148,20
19,480,88
20,75,15
21,622,89
22,232,36
23,100,16
24,175,28
25,551,76
26,91,13
27,60,9
28,93,11
29,242,38
30,1410,177
31,935,128
32,514,67
33,17,4
34,685,104
35,17,2
36,111,15
37,42,7
38,51,8
39,234,46
40,212,32
41,92,15
42,1614,203
43,428,68
44,6,1
45,1729,204
46,194,28
47,20,2
48,14,3
49,8,1
50,49,8
51,298,37
52,220,34
53,45,6
54,22,5
55,157,31
56,45,9
57,34,5
58,151,20
59,386,55
60,17,5
61,45,7
62,90,13
63,64,8
64,22,5
65,102,15
66,8,1
67,20,3
68,94,17
69,16,2
70,6,1
71,54,7
72,119,15
73,35,7
74,101,16
75,65,10
76,42,8
77,51,9
78,79,10
79,508,84
80,7,1
81,78,10
82,20,2
83,78,14
84,174,23
85,24,5
86,18,3
87,681,99
88,151,23
89,8,1
90,173,26
91,8,1
92,1911,237
93,854,104
94,326,46
95,20,3
96,39,5
97,10,2
98,12,2
99,16,2
100,85,16
101,35,4
102,86,12
103,28,7
104,4,1
105,34,6
106,183,31
107,6,1
108,112,16
109,601,86
110,80,12
111,331,51
112,20,3
113,104,15
114,10,1
115,4,1
116,1546,201
117,312,44
118,6,2
119,799,137
120,93,12
121,29,6
122,20,3
123,63,11
124,348,62
125,81,14
126,328,57
127,749,103
128,143,17
129,470,66
130,93,14
131,1024,144
132,17,3
133,333,54
134,48,10
135,226,35
136,46,6
137,284,53
138,331,62
139,54,10
140,159,20
141,112,13
142,44,8
143,2,1
144,6,2
145,245,36
146,77,17
147,14,2
148,14,2
149,681,112
150,271,48
151,33,4
152,83,12
153,6,1
154,28,5
155,29,6
156,173,35
157,132,18
158,62,10
159,240,45
160,182,28
161,6,1
162,6,1
163,163,30
164,57,9
165,12,2
166,144,21
167,670,115
168,24,4
169,14,2
170,18,3
171,46,6
172,16,2
173,194,24
174,326,49
175,28,6
176,96,14
177,6,1
178,6,1
179,120,16
180,802,104
181,289,40
182,368,52
183,126,22
184,14,3
185,48,7
186,163,24
187,814,133
188,109,14
189,84,12
190,88,17
191,515,70
192,313,45
193,147,22
194,16,2
195,102,17
196,19,4
197,8,1
198,36,5
199,6,1
200,249,29
201,165,21
202,108,17
203,134,18
204,30,6
205,18,3
206,297,43
207,6,1
208,29,7
209,198,35
210,98,14
211,32,5
212,2124,251
213,326,42
214,164,21
215,8,1
216,462,68
217,100,17
218,12,2
219,34,5
220,28,4
221,233,31
222,41,7
223,24,6
224,143,22
225,245,38
226,6,2
227,12,2
228,106,13
229,267,40
230,22,3
231,9,1
232,8,1
233,6,1
234,595,92
235,57,8
236,113,14
237,14,3
238,692,101
239,12,2
240,2577,307
241,4,1
242,32,4
243,570,81
244,8,1
245,32,5
246,189,32
247,22,3
248,51,9
249,135,16
250,187,24
251,161,20
252,6,1
253,6,1
254,26,9
255,20,3
256,120,16
257,234,38
258,945,140
259,519,81
260,2808,317
261,144,20
262,6,1
263,71,10
264,8,1
265,24,3
266,192,34
267,63,10
268,733,108
269,36,6
270,12,2
271,68,12
272,378,50
273,42,5
274,14,2
275,6,1
276,108,19
277,680,98
278,34,5
279,16,2
280,29,5
281,979,161
282,42,6
283,42,6
284,215,30
285,793,110
286,386,57
287,108,17
288,10,2
289,462,64
290,40,6
291,198,42
292,2740,329
293,725,103
294,48,9
295,6,1
296,43,8
297,104,17
298,240,34
299,1356,172
300,26,4
301,1000,157
302,518,74
303,16,2
304,355,58
305,139,21
306,116,21
307,80,11
308,110,25
309,260,40
310,1207,171
311,39,7
312,105,21
313,1245,178
314,84,11
315,101,16
316,130,21
317,13,2
318,8,1
319,6,1
320,19,4
321,12,2
322,18,2
323,37,5
324,50,10
325,6,1
326,55,8
327,12,2
328,4,1
329,521,84
330,105,15
331,145,26
332,28,6
333,81,16
334,40,8
335,96,13
336,12,2
337,107,20
338,321,59
339,77,12
340,32,5
341,57,10
342,11,3
343,15,2
344,44,7
345,61,12
346,134,18
347,24,6
348,15,2
349,44,8
350,613,101
351,305,63
352,36,7
353,39,9
354,38,7
355,539,76
356,330,42
357,501,81
358,28,6
359,72,12
360,69,9
361,58,8
362,2,1
363,42,7
364,8,1
365,28,5
366,714,101
367,177,37
368,30,4
369,1517,190
370,28,5
371,27,6
372,16,3
373,22,4
